Season,Round,Circuit,Driver,Constructor,Laps,Position,TotalPitStops,AvgPitStopTime,PitStops
1950,4,Circuit Bremgarten,Toulo de Graffenried,Maserati,40,6,0,,[]
1950,4,Circuit Bremgarten,Nello Pagani,Maserati,39,7,0,,[]
1950,4,Circuit Bremgarten,Harry Schell,Talbot-Lago,39,8,0,,[]
1950,4,Circuit Bremgarten,Louis Chiron,Maserati,39,9,0,,[]
1950,4,Circuit Bremgarten,Johnny Claes,Talbot-Lago,38,10,0,,[]
1950,4,Circuit Bremgarten,Toni Branca,Maserati,35,11,0,,[]
1950,4,Circuit Bremgarten,Juan Fangio,Alfa Romeo,32,12,0,,[]
1950,4,Circuit Bremgarten,Philippe Ã‰tancelin,Talbot-Lago,25,13,0,,[]
1950,4,Circuit Bremgarten,EugÃ¨ne Martin,Talbot-Lago,19,14,0,,[]
1950,4,Circuit Bremgarten,Raymond Sommer,Ferrari,19,15,0,,[]
1950,4,Circuit Bremgarten,Luigi Villoresi,Ferrari,9,16,0,,[]
1950,4,Circuit Bremgarten,Alberto Ascari,Ferrari,4,17,0,,[]
1950,4,Circuit Bremgarten,Yves Cabantous,Talbot-Lago,0,18,0,,[]
1950,5,Circuit de Spa-Francorchamps,Juan Fangio,Alfa Romeo,35,1,0,,[]
1950,5,Circuit de Spa-Francorchamps,Luigi Fagioli,Alfa Romeo,35,2,0,,[]
1950,5,Circuit de Spa-Francorchamps,Louis Rosier,Talbot-Lago,35,3,0,,[]
1950,5,Circuit de Spa-Francorchamps,Nino Farina,Alfa Romeo,35,4,0,,[]
1950,5,Circuit de Spa-Francorchamps,Alberto Ascari,Ferrari,34,5,0,,[]
1950,5,Circuit de Spa-Francorchamps,Luigi Villoresi,Ferrari,33,6,0,,[]
1950,5,Circuit de Spa-Francorchamps,Pierre Levegh,Talbot-Lago,33,7,0,,[]
1950,5,Circuit de Spa-Francorchamps,Johnny Claes,Talbot-Lago,22,8,0,,[]
1950,5,Circuit de Spa-Francorchamps,Geoff Crossley,Alta,30,9,0,,[]
1950,5,Circuit de Spa-Francorchamps,Toni Branca,Maserati,29,10,0,,[]
1950,5,Circuit de Spa-Francorchamps,EugÃ¨ne Chaboud,Talbot-Lago,22,11,0,,[]
1950,5,Circuit de Spa-Francorchamps,Raymond Sommer,Talbot-Lago,20,12,0,,[]
1950,5,Circuit de Spa-Francorchamps,Philippe Ã‰tancelin,Talbot-Lago,15,13,0,,[]
1950,5,Circuit de Spa-Francorchamps,Yves Cabantous,Talbot-Lago,2,14,0,,[]
1950,6,Reims-Gueux,Juan Fangio,Alfa Romeo,64,1,0,,[]
1950,6,Reims-Gueux,Luigi Fagioli,Alfa Romeo,64,2,0,,[]
1950,6,Reims-Gueux,Peter Whitehead,Ferrari,61,3,0,,[]
1950,6,Reims-Gueux,Robert Manzon,Simca,61,4,0,,[]
1950,6,Reims-Gueux,Philippe Ã‰tancelin,Talbot-Lago,59,5,0,,[]
1950,6,Reims-Gueux,EugÃ¨ne Chaboud,Talbot-Lago,59,5,0,,[]
1950,6,Reims-Gueux,Charles Pozzi,Talbot-Lago,56,6,0,,[]
1950,6,Reims-Gueux,Louis Rosier,Talbot-Lago,56,6,0,,[]
1950,6,Reims-Gueux,Nino Farina,Alfa Romeo,55,7,0,,[]
1950,6,Reims-Gueux,Yves Cabantous,Talbot-Lago,52,8,0,,[]
1950,6,Reims-Gueux,Pierre Levegh,Talbot-Lago,36,9,0,,[]
1950,6,Reims-Gueux,Felice Bonetto,Maserati,14,10,0,,[]
1950,6,Reims-Gueux,Johnny Claes,Talbot-Lago,11,11,0,,[]
1950,6,Reims-Gueux,Louis Rosier,Talbot-Lago,10,12,0,,[]
1950,6,Reims-Gueux,Reg Parnell,Maserati,9,13,0,,[]
1950,6,Reims-Gueux,Franco Rol,Maserati,6,14,0,,[]
1950,6,Reims-Gueux,Louis Chiron,Maserati,6,15,0,,[]
1950,6,Reims-Gueux,David Hampshire,Maserati,5,16,0,,[]
1950,6,Reims-Gueux,Raymond Sommer,Talbot-Lago,4,17,0,,[]
1950,6,Reims-Gueux,JosÃ© FroilÃ¡n GonzÃ¡lez,Maserati,3,18,0,,[]
1950,7,Autodromo Nazionale di Monza,Nino Farina,Alfa Romeo,80,1,0,,[]
1950,7,Autodromo Nazionale di Monza,Dorino Serafini,Ferrari,80,2,0,,[]
1950,7,Autodromo Nazionale di Monza,Alberto Ascari,Ferrari,80,2,0,,[]
1950,7,Autodromo Nazionale di Monza,Luigi Fagioli,Alfa Romeo,80,3,0,,[]
1950,7,Autodromo Nazionale di Monza,Louis Rosier,Talbot-Lago,75,4,0,,[]
1950,7,Autodromo Nazionale di Monza,Philippe Ã‰tancelin,Talbot-Lago,75,5,0,,[]
1950,7,Autodromo Nazionale di Monza,Toulo de Graffenried,Maserati,72,6,0,,[]
1950,7,Autodromo Nazionale di Monza,Peter Whitehead,Ferrari,72,7,0,,[]
1950,7,Autodromo Nazionale di Monza,David Murray,Maserati,56,8,0,,[]
1950,7,Autodromo Nazionale di Monza,Cuth Harrison,ERA,51,9,0,,[]
1950,7,Autodromo Nazionale di Monza,Raymond Sommer,Talbot-Lago,48,10,0,,[]
1950,7,Autodromo Nazionale di Monza,Guy Mairesse,Talbot-Lago,42,11,0,,[]
1950,7,Autodromo Nazionale di Monza,Franco Rol,Maserati,39,12,0,,[]
1950,7,Autodromo Nazionale di Monza,Piero Taruffi,Alfa Romeo,34,13,0,,[]
1950,7,Autodromo Nazionale di Monza,Juan Fangio,Alfa Romeo,34,13,0,,[]
1950,7,Autodromo Nazionale di Monza,Pierre Levegh,Talbot-Lago,29,14,0,,[]
1950,7,Autodromo Nazionale di Monza,Juan Fangio,Alfa Romeo,23,15,0,,[]
1950,7,Autodromo Nazionale di Monza,Johnny Claes,Talbot-Lago,22,16,0,,[]
1950,7,Autodromo Nazionale di Monza,Alberto Ascari,Ferrari,21,17,0,,[]
1950,7,Autodromo Nazionale di Monza,Clemente Biondetti,Ferrari,17,18,0,,[]
1950,7,Autodromo Nazionale di Monza,Henri Louveau,Talbot-Lago,16,19,0,,[]
1950,7,Autodromo Nazionale di Monza,Franco Comotti,Maserati,15,20,0,,[]
1950,7,Autodromo Nazionale di Monza,Maurice Trintignant,Simca,13,21,0,,[]
1950,7,Autodromo Nazionale di Monza,Louis Chiron,Maserati,13,22,0,,[]
1950,7,Autodromo Nazionale di Monza,Consalvo Sanesi,Alfa Romeo,11,23,0,,[]
1950,7,Autodromo Nazionale di Monza,Robert Manzon,Simca,7,24,0,,[]
1950,7,Autodromo Nazionale di Monza,Prince Bira,Maserati,1,25,0,,[]
1950,7,Autodromo Nazionale di Monza,Paul Pietsch,Maserati,0,26,0,,[]
1950,7,Autodromo Nazionale di Monza,Felice Bonetto,Milano,0,27,0,,[]
1951,1,Circuit Bremgarten,Juan Fangio,Alfa Romeo,42,1,0,,[]
1951,1,Circuit Bremgarten,Piero Taruffi,Ferrari,42,2,0,,[]
1951,1,Circuit Bremgarten,Nino Farina,Alfa Romeo,42,3,0,,[]
1951,1,Circuit Bremgarten,Consalvo Sanesi,Alfa Romeo,41,4,0,,[]
1951,1,Circuit Bremgarten,Toulo de Graffenried,Alfa Romeo,40,5,0,,[]
1951,1,Circuit Bremgarten,Alberto Ascari,Ferrari,40,6,0,,[]
1951,1,Circuit Bremgarten,Louis Chiron,Maserati,40,7,0,,[]
1951,1,Circuit Bremgarten,Stirling Moss,HWM,40,8,0,,[]
1951,1,Circuit Bremgarten,Louis Rosier,Talbot-Lago,39,9,0,,[]
1951,1,Circuit Bremgarten,Philippe Ã‰tancelin,Talbot-Lago,39,10,0,,[]
1951,1,Circuit Bremgarten,Rudi Fischer,Ferrari,39,11,0,,[]
1951,1,Circuit Bremgarten,Harry Schell,Maserati,38,12,0,,[]
1951,1,Circuit Bremgarten,Johnny Claes,Talbot-Lago,35,13,0,,[]
1951,1,Circuit Bremgarten,Guy Mairesse,Talbot-Lago,31,14,0,,[]
1951,1,Circuit Bremgarten,Peter Whitehead,Ferrari,36,15,0,,[]
1951,1,Circuit Bremgarten,Henri Louveau,Talbot-Lago,30,16,0,,[]
1951,1,Circuit Bremgarten,George Abecassis,HWM,23,17,0,,[]
1951,1,Circuit Bremgarten,Yves Cabantous,Talbot-Lago,14,18,0,,[]
1951,1,Circuit Bremgarten,Luigi Villoresi,Ferrari,12,19,0,,[]
1951,1,Circuit Bremgarten,JosÃ© FroilÃ¡n GonzÃ¡lez,Talbot-Lago,10,20,0,,[]
1951,1,Circuit Bremgarten,Peter Hirt,Veritas,0,21,0,,[]
1951,2,Indianapolis Motor Speedway,Lee Wallard,Kurtis Kraft,200,1,0,,[]
1951,2,Indianapolis Motor Speedway,Mike Nazaruk,Kurtis Kraft,200,2,0,,[]
1951,2,Indianapolis Motor Speedway,Jack McGrath,Kurtis Kraft,200,3,0,,[]
1951,2,Indianapolis Motor Speedway,Manny Ayulo,Kurtis Kraft,200,3,0,,[]
1951,2,Indianapolis Motor Speedway,Andy Linden,Sherman,200,4,0,,[]
1951,2,Indianapolis Motor Speedway,Bobby Ball,Schroeder,200,5,0,,[]
1951,2,Indianapolis Motor Speedway,Henry Banks,Moore,200,6,0,,[]
1951,2,Indianapolis Motor Speedway,Carl Forberg,Kurtis Kraft,193,7,0,,[]
1951,2,Indianapolis Motor Speedway,Duane Carter,Deidt,180,8,0,,[]
1951,2,Indianapolis Motor Speedway,Tony Bettenhausen,Deidt,178,9,0,,[]
1951,2,Indianapolis Motor Speedway,Duke Nalon,Kurtis Kraft,151,10,0,,[]
1951,2,Indianapolis Motor Speedway,Gene Force,Kurtis Kraft,142,11,0,,[]
1951,2,Indianapolis Motor Speedway,Sam Hanks,Kurtis Kraft,135,12,0,,[]
1951,2,Indianapolis Motor Speedway,Bill Schindler,Kurtis Kraft,129,13,0,,[]
1951,2,Indianapolis Motor Speedway,Mauri Rose,Deidt,126,14,0,,[]
1951,2,Indianapolis Motor Speedway,Walt Faulkner,Kuzma,123,15,0,,[]
1951,2,Indianapolis Motor Speedway,Jimmy Davies,Pawl,110,16,0,,[]
1951,2,Indianapolis Motor Speedway,Fred Agabashian,Kurtis Kraft,109,17,0,,[]
1951,2,Indianapolis Motor Speedway,Carl Scarborough,Kurtis Kraft,93,18,0,,[]
1951,2,Indianapolis Motor Speedway,Bill Mackey,Hall,97,19,0,,[]
1951,2,Indianapolis Motor Speedway,Chuck Stevenson,Marchese,93,20,0,,[]
1951,2,Indianapolis Motor Speedway,Johnnie Parsons,Kurtis Kraft,87,21,0,,[]
1951,2,Indianapolis Motor Speedway,Cecil Green,Kurtis Kraft,80,22,0,,[]
1951,2,Indianapolis Motor Speedway,Troy Ruttman,Kurtis Kraft,78,23,0,,[]
1951,2,Indianapolis Motor Speedway,Duke Dinsmore,Schroeder,73,24,0,,[]
1951,2,Indianapolis Motor Speedway,Chet Miller,Kurtis Kraft,56,25,0,,[]
1951,2,Indianapolis Motor Speedway,Walt Brown,Kurtis Kraft,55,26,0,,[]
1951,2,Indianapolis Motor Speedway,Rodger Ward,Bromme,34,27,0,,[]
1951,2,Indianapolis Motor Speedway,Cliff Griffith,Kurtis Kraft,30,28,0,,[]
1951,2,Indianapolis Motor Speedway,Bill Vukovich,Trevis,29,29,0,,[]
1951,2,Indianapolis Motor Speedway,George Connor,Lesovsky,29,30,0,,[]
1951,2,Indianapolis Motor Speedway,Mack Hellings,Deidt,18,31,0,,[]
1951,2,Indianapolis Motor Speedway,Johnny McDowell,Maserati,15,32,0,,[]
1951,2,Indianapolis Motor Speedway,Joe James,Watson,8,33,0,,[]
1951,3,Circuit de Spa-Francorchamps,Nino Farina,Alfa Romeo,36,1,0,,[]
1951,3,Circuit de Spa-Francorchamps,Alberto Ascari,Ferrari,36,2,0,,[]
1951,3,Circuit de Spa-Francorchamps,Luigi Villoresi,Ferrari,36,3,0,,[]
1951,3,Circuit de Spa-Francorchamps,Louis Rosier,Talbot-Lago,34,4,0,,[]
1951,3,Circuit de Spa-Francorchamps,Yves Cabantous,Talbot-Lago,34,5,0,,[]
1951,3,Circuit de Spa-Francorchamps,AndrÃ© Pilette,Talbot-Lago,33,6,0,,[]
1951,3,Circuit de Spa-Francorchamps,Johnny Claes,Talbot-Lago,33,7,0,,[]
1951,3,Circuit de Spa-Francorchamps,Pierre Levegh,Talbot-Lago,32,8,0,,[]
1951,3,Circuit de Spa-Francorchamps,Juan Fangio,Alfa Romeo,32,9,0,,[]
1951,3,Circuit de Spa-Francorchamps,Louis Chiron,Talbot-Lago,28,10,0,,[]
1951,3,Circuit de Spa-Francorchamps,Consalvo Sanesi,Alfa Romeo,11,11,0,,[]
1951,3,Circuit de Spa-Francorchamps,Piero Taruffi,Ferrari,8,12,0,,[]
1951,3,Circuit de Spa-Francorchamps,Philippe Ã‰tancelin,Talbot-Lago,0,13,0,,[]
1951,4,Reims-Gueux,Luigi Fagioli,Alfa Romeo,77,1,0,,[]
1951,4,Reims-Gueux,Juan Fangio,Alfa Romeo,77,1,0,,[]
1951,4,Reims-Gueux,Alberto Ascari,Ferrari,77,2,0,,[]
1951,4,Reims-Gueux,JosÃ© FroilÃ¡n GonzÃ¡lez,Ferrari,77,2,0,,[]
1951,4,Reims-Gueux,Luigi Villoresi,Ferrari,74,3,0,,[]
1951,4,Reims-Gueux,Reg Parnell,Ferrari,73,4,0,,[]
1951,4,Reims-Gueux,Nino Farina,Alfa Romeo,73,5,0,,[]
1951,4,Reims-Gueux,Louis Chiron,Talbot-Lago,71,6,0,,[]
1951,4,Reims-Gueux,Yves Cabantous,Talbot-Lago,71,7,0,,[]
1951,4,Reims-Gueux,EugÃ¨ne Chaboud,Talbot-Lago,69,8,0,,[]
1951,4,Reims-Gueux,Guy Mairesse,Talbot-Lago,66,9,0,,[]
1951,4,Reims-Gueux,Consalvo Sanesi,Alfa Romeo,58,10,0,,[]
1951,4,Reims-Gueux,Juan Fangio,Alfa Romeo,55,11,0,,[]
1951,4,Reims-Gueux,Luigi Fagioli,Alfa Romeo,55,11,0,,[]
1951,4,Reims-Gueux,Johnny Claes,Talbot-Lago,54,12,0,,[]
1951,4,Reims-Gueux,Louis Rosier,Talbot-Lago,43,13,0,,[]
1951,4,Reims-Gueux,Philippe Ã‰tancelin,Talbot-Lago,37,14,0,,[]
1951,4,Reims-Gueux,Aldo Gordini,Simca,27,15,0,,[]
1951,4,Reims-Gueux,Harry Schell,Maserati,23,16,0,,[]
1951,4,Reims-Gueux,Maurice Trintignant,Simca,11,17,0,,[]
1951,4,Reims-Gueux,Alberto Ascari,Ferrari,10,18,0,,[]
1951,4,Reims-Gueux,AndrÃ© Simon,Simca,7,19,0,,[]
1951,4,Reims-Gueux,Robert Manzon,Simca,3,20,0,,[]
1951,4,Reims-Gueux,Onofre MarimÃ³n,Maserati,2,21,0,,[]
1951,4,Reims-Gueux,Toulo de Graffenried,Maserati,1,22,0,,[]
1951,4,Reims-Gueux,Peter Whitehead,Ferrari,1,23,0,,[]
1951,5,Silverstone Circuit,JosÃ© FroilÃ¡n GonzÃ¡lez,Ferrari,90,1,0,,[]
1951,5,Silverstone Circuit,Juan Fangio,Alfa Romeo,90,2,0,,[]
1951,5,Silverstone Circuit,Luigi Villoresi,Ferrari,88,3,0,,[]
1951,5,Silverstone Circuit,Felice Bonetto,Alfa Romeo,87,4,0,,[]
1951,5,Silverstone Circuit,Reg Parnell,BRM,85,5,0,,[]
1951,5,Silverstone Circuit,Consalvo Sanesi,Alfa Romeo,84,6,0,,[]
1951,5,Silverstone Circuit,Peter Walker,BRM,84,7,0,,[]
1951,5,Silverstone Circuit,Brian Shawe Taylor,ERA,84,8,0,,[]
1951,5,Silverstone Circuit,Peter Whitehead,Ferrari,83,9,0,,[]
1951,5,Silverstone Circuit,Louis Rosier,Talbot-Lago,83,10,0,,[]
1951,5,Silverstone Circuit,Bob Gerard,ERA,82,11,0,,[]
1951,5,Silverstone Circuit,Duncan Hamilton,Talbot-Lago,81,12,0,,[]
1951,5,Silverstone Circuit,Johnny Claes,Talbot-Lago,80,13,0,,[]
1951,5,Silverstone Circuit,Nino Farina,Alfa Romeo,75,14,0,,[]
1951,5,Silverstone Circuit,Joe Kelly,Alta,75,15,0,,[]
1951,5,Silverstone Circuit,Alberto Ascari,Ferrari,56,16,0,,[]
1951,5,Silverstone Circuit,Philip Fotheringham-Parker,Maserati,46,17,0,,[]
1951,5,Silverstone Circuit,David Murray,Maserati,45,18,0,,[]
1951,5,Silverstone Circuit,Louis Chiron,Talbot-Lago,41,19,0,,[]
1951,5,Silverstone Circuit,John James,Maserati,23,20,0,,[]
1951,6,NÃ¼rburgring,Alberto Ascari,Ferrari,20,1,0,,[]
1951,6,NÃ¼rburgring,Juan Fangio,Alfa Romeo,20,2,0,,[]
1951,6,NÃ¼rburgring,JosÃ© FroilÃ¡n GonzÃ¡lez,Ferrari,20,3,0,,[]
1951,6,NÃ¼rburgring,Luigi Villoresi,Ferrari,20,4,0,,[]
1951,6,NÃ¼rburgring,Piero Taruffi,Ferrari,20,5,0,,[]
1951,6,NÃ¼rburgring,Rudi Fischer,Ferrari,19,6,0,,[]
1951,6,NÃ¼rburgring,Robert Manzon,Simca,19,7,0,,[]
1951,6,NÃ¼rburgring,Louis Rosier,Talbot-Lago,19,8,0,,[]
1951,6,NÃ¼rburgring,Pierre Levegh,Talbot-Lago,18,9,0,,[]
1951,6,NÃ¼rburgring,Jacques Swaters,Talbot-Lago,18,10,0,,[]
1951,6,NÃ¼rburgring,Johnny Claes,Talbot-Lago,17,11,0,,[]
1951,6,NÃ¼rburgring,Yves Cabantous,Talbot-Lago,17,12,0,,[]
1951,6,NÃ¼rburgring,Maurice Trintignant,Simca,13,13,0,,[]
1951,6,NÃ¼rburgring,Felice Bonetto,Alfa Romeo,12,14,0,,[]
1951,6,NÃ¼rburgring,Duncan Hamilton,Talbot-Lago,12,15,0,,[]
1951,6,NÃ¼rburgring,Paul Pietsch,Alfa Romeo,11,16,0,,[]
1951,6,NÃ¼rburgring,AndrÃ© Simon,Simca,11,17,0,,[]
1951,6,NÃ¼rburgring,Nino Farina,Alfa Romeo,8,18,0,,[]
1951,6,NÃ¼rburgring,Philippe Ã‰tancelin,Talbot-Lago,4,19,0,,[]
1951,6,NÃ¼rburgring,Louis Chiron,Talbot-Lago,3,20,0,,[]
1951,6,NÃ¼rburgring,Toni Branca,Maserati,3,21,0,,[]
1951,6,NÃ¼rburgring,Toulo de Graffenried,Maserati,2,22,0,,[]
1951,7,Autodromo Nazionale di Monza,Alberto Ascari,Ferrari,80,1,0,,[]
1951,7,Autodromo Nazionale di Monza,JosÃ© FroilÃ¡n GonzÃ¡lez,Ferrari,80,2,0,,[]
1951,7,Autodromo Nazionale di Monza,Felice Bonetto,Alfa Romeo,79,3,0,,[]
1951,7,Autodromo Nazionale di Monza,Nino Farina,Alfa Romeo,79,3,0,,[]
1951,7,Autodromo Nazionale di Monza,Luigi Villoresi,Ferrari,79,4,0,,[]
1951,7,Autodromo Nazionale di Monza,Piero Taruffi,Ferrari,78,5,0,,[]
1951,7,Autodromo Nazionale di Monza,AndrÃ© Simon,Simca,74,6,0,,[]
1951,7,Autodromo Nazionale di Monza,Louis Rosier,Talbot-Lago,73,7,0,,[]
1951,7,Autodromo Nazionale di Monza,Yves Cabantous,Talbot-Lago,72,8,0,,[]
1951,7,Autodromo Nazionale di Monza,Franco Rol,OSCA,67,9,0,,[]
1951,7,Autodromo Nazionale di Monza,Juan Fangio,Alfa Romeo,39,10,0,,[]
1951,7,Autodromo Nazionale di Monza,Maurice Trintignant,Simca,29,11,0,,[]
1951,7,Autodromo Nazionale di Monza,Robert Manzon,Simca,29,12,0,,[]
1951,7,Autodromo Nazionale di Monza,Louis Chiron,Talbot-Lago,23,13,0,,[]
1951,7,Autodromo Nazionale di Monza,Pierre Levegh,Talbot-Lago,9,14,0,,[]
1951,7,Autodromo Nazionale di Monza,Jacques Swaters,Talbot-Lago,7,15,0,,[]
1951,7,Autodromo Nazionale di Monza,Nino Farina,Alfa Romeo,6,16,0,,[]
1951,7,Autodromo Nazionale di Monza,Johnny Claes,Talbot-Lago,4,17,0,,[]
1951,7,Autodromo Nazionale di Monza,Toulo de Graffenried,Alfa Romeo,1,18,0,,[]
1951,7,Autodromo Nazionale di Monza,Peter Whitehead,Ferrari,1,19,0,,[]
1951,7,Autodromo Nazionale di Monza,Chico Landi,Ferrari,0,20,0,,[]
1951,7,Autodromo Nazionale di Monza,Reg Parnell,BRM,0,21,0,,[]
1951,7,Autodromo Nazionale di Monza,Ken Richardson,BRM,0,22,0,,[]
